,County,CrashYear,CrashMonth,Day of Week,CrashHour,SpeedLimit_upper_value,Age
183,Johnston,2012,May,Wednesday,16,55,7
184,Halifax,2013,April,Thursday,19,55,7
185,Robeson,2015,August,Tuesday,18,55,14
186,Guilford,2014,February,Sunday,17,55,49
187,Brunswick,2015,June,Saturday,21,55,25
188,Dare,2015,November,Monday,16,35,12
189,New Hanover,2016,August,Sunday,1,45,56
190,Gaston,2016,November,Wednesday,19,55,47
191,Robeson,2017,February,Friday,6,55,51
192,Guilford,2017,February,Monday,23,45,47
193,Brunswick,2017,July,Tuesday,19,75,61
194,Alamance,2018,August,Sunday,22,55,47
195,Wake,2007,June,Monday,16,35,49
196,Mecklenburg,2008,February,Friday,15,35,58
197,Hertford,2007,September,Saturday,22,45,21
198,Bertie,2011,January,Sunday,18,55,28
199,Wake,2012,July,Wednesday,14,55,49
200,Halifax,2013,August,Tuesday,21,55,58
201,Hertford,2016,June,Saturday,21,45,21
202,Robeson,2016,September,Tuesday,21,55,54
203,Robeson,2017,May,Friday,14,55,57
204,Wake,2011,January,Thursday,12,45,48
205,Robeson,2011,August,Friday,21,55,53
206,Harnett,2012,September,Monday,20,55,61
207,Union,2013,March,Saturday,22,45,31
208,Pasquotank,2015,February,Thursday,18,45,61
209,Wake,2015,November,Tuesday,19,55,33
210,Chatham,2016,October,Friday,6,55,36
211,Robeson,2008,May,Saturday,3,45,60
212,Davidson,2009,March,Saturday,11,55,51
213,Stokes,2012,June,Friday,8,55,79
214,Brunswick,2013,May,Thursday,18,45,74
215,Guilford,2013,September,Monday,19,55,63
216,Duplin,2014,February,Wednesday,13,55,59
217,New Hanover,2014,August,Saturday,23,45,38
218,Durham,2014,November,Wednesday,9,45,56
219,Lee,2015,January,Tuesday,18,55,40
220,Orange,2014,October,Friday,9,0,57
221,Catawba,2015,August,Monday,7,35,29
222,Gates,2015,October,Monday,11,55,60
223,Mecklenburg,2007,January,Tuesday,8,45,42
224,Richmond,2008,November,Wednesday,17,45,37
225,Gaston,2008,December,Saturday,22,45,33
226,Cleveland,2009,April,Friday,21,45,51
227,Cabarrus,2010,March,Wednesday,7,55,35
228,Davie,2010,July,Saturday,18,55,59
229,Rockingham,2012,December,Saturday,1,45,29
230,Edgecombe,2013,April,Thursday,22,75,45
231,Craven,2013,June,Wednesday,19,45,60
232,Harnett,2015,January,Friday,19,55,53
233,Wake,2015,July,Friday,22,45,56
234,Onslow,2016,July,Monday,18,55,13
235,Robeson,2017,May,Friday,15,55,70
236,Jones,2013,April,Tuesday,20,45,46
237,Durham,2013,July,Wednesday,15,35,36
238,Dare,2014,March,Sunday,15,35,64
239,Sampson,2018,September,Tuesday,21,55,56
240,Davidson,2018,August,Tuesday,7,55,38
